Quiz_ID,Total_Marks,Avg_Response_Time,Total_Time_Spent,Topic_1_Marks,Topic_2_Marks,Topic_3_Marks,Topic_4_Marks,Topic_5_Marks,Topic_6_Marks,Topic_7_Marks,Topic_8_Marks,Topic_9_Marks,Topic_10_Marks,Topic_1_Strength,Topic_2_Strength,Topic_3_Strength,Topic_4_Strength,Topic_5_Strength,Topic_6_Strength,Topic_7_Strength,Topic_8_Strength,Topic_9_Strength,Topic_10_Strength
2,19,5,250,1,1,3,0,2,4,3,2,1,2,0,0,1,0,0,1,1,0,0,0
2,30,18,900,4,0,4,5,2,3,4,3,4,1,1,0,1,1,0,1,1,1,1,0
1,26,23,1150,3,1,4,2,1,2,5,5,0,3,1,0,1,0,0,0,1,1,0,1
1,25,26,1300,4,0,2,4,5,1,0,1,5,3,1,0,0,1,1,0,0,0,1,1
2,26,20,1000,4,1,0,5,0,3,3,3,2,5,1,0,0,1,0,1,1,1,0,1
2,32,6,300,3,0,5,3,5,3,5,3,2,3,1,0,1,1,1,1,1,1,0,1
1,25,25,1250,3,0,5,0,4,2,1,4,1,5,1,0,1,0,1,0,0,1,0,1
1,24,11,550,5,1,0,2,5,2,0,3,1,5,1,0,0,0,1,0,0,1,0,1
1,32,16,800,3,5,4,3,2,3,5,5,1,1,1,1,1,1,0,1,1,1,0,0
3,32,13,650,1,4,4,1,2,3,5,3,4,5,0,1,1,0,0,1,1,1,1,1
3,23,21,1050,0,2,5,0,0,3,4,4,2,3,0,0,1,0,0,1,1,1,0,1
3,27,11,550,5,4,1,5,4,0,3,0,3,2,1,1,0,1,1,0,1,0,1,0
2,27,18,900,5,0,5,4,1,3,3,3,0,3,1,0,1,1,0,1,1,1,0,1
3,19,28,1400,0,1,4,3,1,4,1,2,3,0,0,0,1,1,0,1,0,0,1,0
2,27,23,1150,5,1,4,2,3,5,2,3,0,2,1,0,1,0,1,1,0,1,0,0
2,21,6,300,3,1,1,4,4,1,2,1,4,0,1,0,0,1,1,0,0,0,1,0
3,21,12,600,4,1,3,1,4,1,2,2,0,3,1,0,1,0,1,0,0,0,0,1
2,33,27,1350,2,5,3,4,2,5,3,2,4,3,0,1,1,1,0,1,1,0,1,1
3,17,5,250,3,2,1,2,3,2,1,0,2,1,1,0,0,0,1,0,0,0,0,0
3,20,6,300,4,3,1,1,1,3,1,1,0,5,1,1,0,0,0,1,0,0,0,1
1,18,24,1200,4,0,3,2,4,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0
3,17,19,950,5,2,3,0,4,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
1,27,19,950,1,4,3,2,0,4,2,3,4,4,0,1,1,0,0,1,0,1,1,1
3,28,23,1150,1,3,3,4,1,4,3,3,2,4,0,1,1,1,0,1,1,1,0,1
3,23,6,300,5,3,5,0,0,0,0,2,4,4,1,1,1,0,0,0,0,0,1,1
1,27,9,450,5,1,5,0,3,5,1,0,3,4,1,0,1,0,1,1,0,0,1,1
1,21,26,1300,0,2,2,3,4,0,4,3,3,0,0,0,0,1,1,0,1,1,1,0
3,27,26,1300,0,4,1,4,3,1,5,5,3,1,0,1,0,1,1,0,1,1,1,0
2,24,27,1350,2,1,0,4,5,2,0,5,1,4,0,0,0,1,1,0,0,1,0,1
1,16,16,800,2,1,2,1,0,1,1,3,5,0,0,0,0,0,0,0,0,1,1,0
2,16,17,850,2,5,0,2,1,2,0,0,3,1,0,1,0,0,0,0,0,0,1,0
2,16,26,1300,2,0,0,5,4,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0
2,31,26,1300,4,3,4,2,5,4,0,2,3,4,1,1,1,0,1,1,0,0,1,1
1,25,20,1000,4,4,1,4,5,3,0,3,1,0,1,1,0,1,1,1,0,1,0,0
2,14,12,600,0,3,5,2,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0
1,17,9,450,1,2,2,4,3,0,3,0,2,0,0,0,0,1,1,0,1,0,0,0
2,24,25,1250,5,0,1,0,5,2,5,1,4,1,1,0,0,0,1,0,1,0,1,0
3,25,15,750,1,1,3,2,2,2,3,4,4,3,0,0,1,0,0,0,1,1,1,1
3,26,15,750,3,0,1,2,1,1,5,4,5,4,1,0,0,0,0,0,1,1,1,1
1,23,27,1350,4,1,0,4,5,2,2,4,0,1,1,0,0,1,1,0,0,1,0,0
3,27,14,700,2,0,5,4,1,0,4,4,5,2,0,0,1,1,0,0,1,1,1,0
3,20,17,850,2,1,3,1,1,4,3,3,0,2,0,0,1,0,0,1,1,1,0,0
2,32,15,750,3,3,1,2,4,3,4,5,5,2,1,1,0,0,1,1,1,1,1,0
1,28,27,1350,1,3,1,3,3,3,3,5,4,2,0,1,0,1,1,1,1,1,1,0
2,29,23,1150,2,3,5,4,3,2,1,0,4,5,0,1,1,1,1,0,0,0,1,1
2,18,5,250,1,3,0,3,4,1,1,5,0,0,0,1,0,1,1,0,0,1,0,0
2,21,25,1250,5,0,3,0,1,2,0,5,4,1,1,0,1,0,0,0,0,1,1,0
2,18,15,750,3,1,0,0,1,0,4,2,5,2,1,0,0,0,0,0,1,0,1,0
2,27,8,400,1,3,5,3,2,5,0,5,2,1,0,1,1,1,0,1,0,1,0,0
2,31,5,250,5,0,1,5,5,1,5,5,3,1,1,0,0,1,1,0,1,1,1,0
2,22,25,1250,1,1,2,0,1,4,0,5,5,3,0,0,0,0,0,1,0,1,1,1
1,20,10,500,1,0,2,3,5,0,3,3,3,0,0,0,0,1,1,0,1,1,1,0
3,28,27,1350,2,5,4,1,0,4,3,4,2,3,0,1,1,0,0,1,1,1,0,1
2,21,20,1000,0,3,2,1,5,1,0,2,3,4,0,1,0,0,1,0,0,0,1,1
2,30,14,700,4,2,5,0,1,4,5,2,3,4,1,0,1,0,0,1,1,0,1,1
2,27,15,750,1,0,5,3,2,0,3,5,3,5,0,0,1,1,0,0,1,1,1,1
2,27,20,1000,1,3,5,3,0,0,5,5,1,4,0,1,1,1,0,0,1,1,0,1
2,28,13,650,1,4,3,3,2,2,1,4,5,3,0,1,1,1,0,0,0,1,1,1
2,29,16,800,0,1,4,5,5,5,1,2,5,1,0,0,1,1,1,1,0,0,1,0
3,30,24,1200,5,5,3,0,2,1,4,3,2,5,1,1,1,0,0,0,1,1,0,1
3,32,21,1050,3,3,2,5,5,3,1,1,5,4,1,1,0,1,1,1,0,0,1,1
2,36,24,1200,2,4,2,3,3,5,5,3,4,5,0,1,0,1,1,1,1,1,1,1
3,20,15,750,0,0,1,4,5,3,0,3,0,4,0,0,0,1,1,1,0,1,0,1
1,27,27,1350,5,0,3,3,4,4,2,1,2,3,1,0,1,1,1,1,0,0,0,1
2,24,5,250,1,4,0,4,2,3,3,4,2,1,0,1,0,1,0,1,1,1,0,0
1,29,29,1450,5,5,1,1,1,3,0,4,5,4,1,1,0,0,0,1,0,1,1,1
1,19,10,500,0,4,3,4,3,0,3,1,1,0,0,1,1,1,1,0,1,0,0,0
2,21,14,700,0,1,5,1,0,0,4,5,1,4,0,0,1,0,0,0,1,1,0,1
3,18,12,600,0,0,4,0,5,0,0,3,3,3,0,0,1,0,1,0,0,1,1,1
1,26,26,1300,3,4,3,5,4,3,0,0,1,3,1,1,1,1,1,1,0,0,0,1
2,28,18,900,4,2,4,5,3,4,0,2,4,0,1,0,1,1,1,1,0,0,1,0
1,23,27,1350,2,2,4,1,2,1,4,2,4,1,0,0,1,0,0,0,1,0,1,0
1,20,23,1150,3,4,2,1,3,2,0,2,3,0,1,1,0,0,1,0,0,0,1,0
1,21,28,1400,3,1,0,3,1,4,3,0,1,5,1,0,0,1,0,1,1,0,0,1
1,22,25,1250,4,0,3,2,1,0,2,3,3,4,1,0,1,0,0,0,0,1,1,1
3,18,11,550,3,2,0,1,1,4,0,4,0,3,1,0,0,0,0,1,0,1,0,1
1,28,11,550,0,4,4,4,4,1,4,5,1,1,0,1,1,1,1,0,1,1,0,0
1,24,10,500,0,4,2,0,3,5,4,1,1,4,0,1,0,0,1,1,1,0,0,1
1,19,23,1150,5,3,0,5,3,0,0,2,1,0,1,1,0,1,1,0,0,0,0,0
3,28,15,750,1,4,1,4,2,1,4,5,1,5,0,1,0,1,0,0,1,1,0,1
1,27,5,250,3,1,4,5,0,5,1,0,4,4,1,0,1,1,0,1,0,0,1,1
1,22,10,500,1,2,1,0,1,2,5,5,5,0,0,0,0,0,0,0,1,1,1,0
3,28,17,850,2,3,5,4,0,4,4,1,3,2,0,1,1,1,0,1,1,0,1,0
3,20,29,1450,0,2,0,5,0,2,2,3,4,2,0,0,0,1,0,0,0,1,1,0
3,19,22,1100,5,2,0,1,1,3,1,0,3,3,1,0,0,0,0,1,0,0,1,1
1,19,6,300,2,1,0,2,1,4,3,5,0,1,0,0,0,0,0,1,1,1,0,0
3,27,21,1050,5,4,5,1,2,5,1,0,1,3,1,1,1,0,0,1,0,0,0,1
3,29,21,1050,4,1,3,5,4,3,2,1,2,4,1,0,1,1,1,1,0,0,0,1
1,28,6,300,0,4,4,3,1,1,5,1,4,5,0,1,1,1,0,0,1,0,1,1
3,26,5,250,2,3,4,4,0,3,1,2,5,2,0,1,1,1,0,1,0,0,1,0
1,26,16,800,4,1,4,2,2,5,0,3,2,3,1,0,1,0,0,1,0,1,0,1
2,23,16,800,2,1,3,4,3,5,4,1,0,0,0,0,1,1,1,1,1,0,0,0
3,21,26,1300,5,5,0,3,2,1,0,2,2,1,1,1,0,1,0,0,0,0,0,0
2,17,9,450,4,0,0,3,1,2,0,5,0,2,1,0,0,1,0,0,0,1,0,0
1,25,28,1400,4,1,5,3,5,0,0,2,4,1,1,0,1,1,1,0,0,0,1,0
3,17,20,1000,0,5,1,5,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
1,21,20,1000,1,0,3,1,4,3,3,0,4,2,0,0,1,0,1,1,1,0,1,0
2,34,17,850,5,4,2,5,2,1,5,5,5,0,1,1,0,1,0,0,1,1,1,0
1,30,11,550,5,4,3,1,1,3,4,0,4,5,1,1,1,0,0,1,1,0,1,1
3,23,16,800,4,4,5,2,0,5,1,0,2,0,1,1,1,0,0,1,0,0,0,0
3,23,18,900,4,5,1,3,0,0,5,2,3,0,1,1,0,1,0,0,1,0,1,0
2,19,24,1200,0,5,1,1,2,4,0,0,5,1,0,1,0,0,0,1,0,0,1,0
1,18,13,650,1,0,1,0,4,4,2,3,3,0,0,0,0,0,1,1,0,1,1,0
3,27,15,750,5,4,0,0,5,4,2,0,3,4,1,1,0,0,1,1,0,0,1,1
2,24,15,750,3,2,2,1,2,3,0,5,1,5,1,0,0,0,0,1,0,1,0,1
3,29,24,1200,3,1,1,2,4,4,3,5,2,4,1,0,0,0,1,1,1,1,0,1
3,20,29,1450,1,5,4,4,0,1,5,0,0,0,0,1,1,1,0,0,1,0,0,0
1,22,24,1200,2,5,0,5,1,0,4,2,3,0,0,1,0,1,0,0,1,0,1,0
3,32,6,300,0,5,2,3,3,5,5,5,2,2,0,1,0,1,1,1,1,1,0,0
1,17,19,950,1,0,4,1,1,2,1,4,1,2,0,0,1,0,0,0,0,1,0,0
3,27,22,1100,3,4,2,2,0,5,3,3,2,3,1,1,0,0,0,1,1,1,0,1
2,27,26,1300,4,2,5,5,5,1,2,2,0,1,1,0,1,1,1,0,0,0,0,0
3,17,26,1300,3,1,2,4,0,0,0,3,3,1,1,0,0,1,0,0,0,1,1,0
1,20,27,1350,4,1,4,2,1,2,1,3,0,2,1,0,1,0,0,0,0,1,0,0
1,24,16,800,0,4,3,4,1,4,3,0,1,4,0,1,1,1,0,1,1,0,0,1
2,26,11,550,4,2,2,0,5,2,5,3,0,3,1,0,0,0,1,0,1,1,0,1
3,27,16,800,1,0,3,5,5,3,3,0,5,2,0,0,1,1,1,1,1,0,1,0
3,31,7,350,4,5,2,5,0,3,3,3,1,5,1,1,0,1,0,1,1,1,0,1
2,36,14,700,2,5,5,4,1,4,5,5,0,5,0,1,1,1,0,1,1,1,0,1
3,25,27,1350,1,4,4,0,3,4,1,4,1,3,0,1,1,0,1,1,0,1,0,1
3,20,29,1450,0,1,2,3,3,1,4,3,2,1,0,0,0,1,1,0,1,1,0,0
1,24,13,650,1,5,1,1,2,1,5,1,2,5,0,1,0,0,0,0,1,0,0,1
3,20,19,950,2,1,5,0,3,5,1,0,2,1,0,0,1,0,1,1,0,0,0,0
3,26,11,550,0,1,1,2,0,3,5,4,5,5,0,0,0,0,0,1,1,1,1,1
2,22,8,400,3,4,5,4,0,0,0,0,5,1,1,1,1,1,0,0,0,0,1,0
2,29,18,900,2,3,5,5,2,1,1,4,2,4,0,1,1,1,0,0,0,1,0,1
1,16,28,1400,0,3,2,2,4,0,3,0,0,2,0,1,0,0,1,0,1,0,0,0
3,38,22,1100,4,3,4,5,2,5,4,1,5,5,1,1,1,1,0,1,1,0,1,1
3,32,28,1400,1,2,4,0,4,3,4,5,4,5,0,0,1,0,1,1,1,1,1,1
3,21,16,800,0,4,0,5,4,1,0,1,1,5,0,1,0,1,1,0,0,0,0,1
1,20,15,750,1,1,4,5,1,0,0,4,1,3,0,0,1,1,0,0,0,1,0,1
1,37,7,350,4,5,3,5,5,5,2,2,4,2,1,1,1,1,1,1,0,0,1,0
2,16,9,450,0,2,2,5,3,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0
1,20,7,350,3,3,1,2,4,1,2,2,1,1,1,1,0,0,1,0,0,0,0,0
3,23,26,1300,2,0,4,4,1,4,1,3,2,2,0,0,1,1,0,1,0,1,0,0
3,17,10,500,0,2,1,1,2,5,4,1,1,0,0,0,0,0,0,1,1,0,0,0
1,16,28,1400,4,2,0,2,2,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3,23,5,250,0,4,2,3,4,2,2,1,3,2,0,1,0,1,1,0,0,0,1,0
3,24,9,450,1,5,4,4,1,4,0,3,1,1,0,1,1,1,0,1,0,1,0,0
1,33,25,1250,5,2,1,4,0,5,2,5,4,5,1,0,0,1,0,1,0,1,1,1
1,29,18,900,0,5,5,3,5,2,1,4,1,3,0,1,1,1,1,0,0,1,0,1
3,25,13,650,3,4,4,0,5,0,5,0,4,0,1,1,1,0,1,0,1,0,1,0
3,18,14,700,0,0,0,3,3,1,1,0,5,5,0,0,0,1,1,0,0,0,1,1
3,26,24,1200,2,1,5,0,4,5,3,0,1,5,0,0,1,0,1,1,1,0,0,1
2,19,26,1300,0,1,1,1,0,3,0,4,4,5,0,0,0,0,0,1,0,1,1,1
2,22,15,750,5,3,1,0,3,1,5,1,1,2,1,1,0,0,1,0,1,0,0,0
2,29,14,700,1,3,2,1,0,4,5,4,5,4,0,1,0,0,0,1,1,1,1,1
1,21,27,1350,0,0,2,1,5,2,3,5,1,2,0,0,0,0,1,0,1,1,0,0
2,22,7,350,3,1,1,5,1,1,5,1,3,1,1,0,0,1,0,0,1,0,1,0
1,36,20,1000,4,3,5,5,4,2,1,5,5,2,1,1,1,1,1,0,0,1,1,0
1,22,26,1300,0,5,2,3,0,4,5,0,3,0,0,1,0,1,0,1,1,0,1,0
2,14,18,900,0,2,1,1,0,4,1,4,1,0,0,0,0,0,0,1,0,1,0,0
2,30,17,850,2,4,5,0,0,1,5,5,3,5,0,1,1,0,0,0,1,1,1,1
2,31,17,850,3,3,3,2,5,5,5,3,0,2,1,1,1,0,1,1,1,1,0,0
3,35,7,350,5,0,4,5,4,3,0,4,5,5,1,0,1,1,1,1,0,1,1,1
2,25,26,1300,4,1,3,4,1,5,3,1,0,3,1,0,1,1,0,1,1,0,0,1
3,24,21,1050,1,0,3,4,1,3,5,0,5,2,0,0,1,1,0,1,1,0,1,0
1,21,13,650,0,4,4,0,0,2,5,1,2,3,0,1,1,0,0,0,1,0,0,1
3,27,26,1300,5,4,1,5,1,1,3,2,5,0,1,1,0,1,0,0,1,0,1,0
2,19,10,500,4,0,1,2,3,0,3,0,2,4,1,0,0,0,1,0,1,0,0,1
1,18,24,1200,1,3,2,1,1,4,0,3,0,3,0,1,0,0,0,1,0,1,0,1
1,28,18,900,5,3,0,5,0,5,0,3,5,2,1,1,0,1,0,1,0,1,1,0
1,15,25,1250,3,1,1,0,3,2,0,2,2,1,1,0,0,0,1,0,0,0,0,0
3,28,24,1200,3,5,4,1,4,4,4,1,1,1,1,1,1,0,1,1,1,0,0,0
2,25,26,1300,4,1,0,5,2,2,5,3,1,2,1,0,0,1,0,0,1,1,0,0
1,20,27,1350,1,2,4,3,5,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0
1,21,21,1050,3,5,4,2,1,2,4,0,0,0,1,1,1,0,0,0,1,0,0,0
1,31,18,900,4,2,4,4,3,2,4,4,4,0,1,0,1,1,1,0,1,1,1,0
3,14,7,350,3,1,0,0,2,0,1,0,5,2,1,0,0,0,0,0,0,0,1,0
3,29,6,300,3,5,3,4,4,2,5,1,1,1,1,1,1,1,1,0,1,0,0,0
2,37,9,450,5,5,5,1,2,3,2,5,5,4,1,1,1,0,0,1,0,1,1,1
3,26,28,1400,5,2,4,1,4,2,2,2,3,1,1,0,1,0,1,0,0,0,1,0
1,21,9,450,3,0,2,3,0,2,2,5,4,0,1,0,0,1,0,0,0,1,1,0
2,13,13,650,2,3,1,1,0,1,0,0,3,2,0,1,0,0,0,0,0,0,1,0
1,29,21,1050,5,5,5,1,5,2,0,3,1,2,1,1,1,0,1,0,0,1,0,0
1,25,15,750,1,5,1,4,5,0,3,0,2,4,0,1,0,1,1,0,1,0,0,1
3,23,10,500,4,2,1,4,4,1,3,0,3,1,1,0,0,1,1,0,1,0,1,0
2,24,7,350,4,5,0,0,2,4,4,0,5,0,1,1,0,0,0,1,1,0,1,0
3,22,19,950,1,2,2,0,5,3,3,2,0,4,0,0,0,0,1,1,1,0,0,1
3,12,22,1100,1,0,2,1,1,3,0,1,3,0,0,0,0,0,0,1,0,0,1,0
2,29,8,400,1,5,5,5,2,4,4,2,0,1,0,1,1,1,0,1,1,0,0,0
1,30,23,1150,1,4,2,2,5,2,3,3,4,4,0,1,0,0,1,0,1,1,1,1
1,13,29,1450,0,1,2,0,2,0,3,1,4,0,0,0,0,0,0,0,1,0,1,0
2,18,18,900,4,0,2,1,1,0,2,3,2,3,1,0,0,0,0,0,0,1,0,1
1,19,29,1450,0,4,5,5,2,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0
2,24,12,600,3,0,3,5,2,0,4,1,5,1,1,0,1,1,0,0,1,0,1,0
2,27,27,1350,3,3,2,4,3,2,1,5,2,2,1,1,0,1,1,0,0,1,0,0
3,27,23,1150,4,0,2,5,4,4,5,0,3,0,1,0,0,1,1,1,1,0,1,0
2,19,18,900,3,0,0,3,0,4,3,0,2,4,1,0,0,1,0,1,1,0,0,1
3,23,7,350,1,3,0,4,5,3,0,2,5,0,0,1,0,1,1,1,0,0,1,0
1,33,17,850,0,5,2,4,5,4,4,1,3,5,0,1,0,1,1,1,1,0,1,1
1,28,27,1350,1,1,3,3,5,0,5,3,4,3,0,0,1,1,1,0,1,1,1,1
1,24,8,400,3,4,2,4,4,2,0,0,2,3,1,1,0,1,1,0,0,0,0,1
1,23,28,1400,5,2,2,0,2,1,0,5,5,1,1,0,0,0,0,0,0,1,1,0
3,22,5,250,0,1,2,4,1,1,4,3,4,2,0,0,0,1,0,0,1,1,1,0
1,24,21,1050,1,0,4,3,1,0,2,5,3,5,0,0,1,1,0,0,0,1,1,1
2,20,11,550,4,2,3,1,0,5,5,0,0,0,1,0,1,0,0,1,1,0,0,0
2,18,13,650,1,3,1,1,0,3,2,1,1,5,0,1,0,0,0,1,0,0,0,1
2,22,22,1100,5,1,2,1,0,1,3,3,3,3,1,0,0,0,0,0,1,1,1,1
3,29,25,1250,3,5,1,3,1,5,2,2,3,4,1,1,0,1,0,1,0,0,1,1
1,18,6,300,0,4,3,3,2,0,3,2,1,0,0,1,1,1,0,0,1,0,0,0
1,16,16,800,4,1,2,0,0,2,3,2,1,1,1,0,0,0,0,0,1,0,0,0
1,18,29,1450,0,1,1,3,0,1,4,0,4,4,0,0,0,1,0,0,1,0,1,1
3,25,29,1450,4,5,5,5,1,0,0,0,3,2,1,1,1,1,0,0,0,0,1,0
2,17,5,250,0,2,1,1,5,1,1,2,3,1,0,0,0,0,1,0,0,0,1,0
2,24,15,750,3,3,3,3,2,2,1,3,2,2,1,1,1,1,0,0,0,1,0,0
1,22,20,1000,4,5,2,2,0,4,2,0,1,2,1,1,0,0,0,1,0,0,0,0
2,33,27,1350,2,3,4,4,2,4,4,2,5,3,0,1,1,1,0,1,1,0,1,1
2,19,19,950,0,5,3,0,3,2,1,0,0,5,0,1,1,0,1,0,0,0,0,1
3,22,20,1000,0,1,4,1,5,2,0,4,3,2,0,0,1,0,1,0,0,1,1,0
3,32,18,900,1,3,2,5,5,4,3,3,2,4,0,1,0,1,1,1,1,1,0,1
3,22,5,250,4,2,1,5,0,2,3,1,0,4,1,0,0,1,0,0,1,0,0,1
3,30,11,550,5,2,5,1,0,2,4,3,4,4,1,0,1,0,0,0,1,1,1,1
1,32,12,600,2,4,5,5,1,2,2,1,5,5,0,1,1,1,0,0,0,0,1,1
3,24,20,1000,3,3,3,2,5,4,0,2,2,0,1,1,1,0,1,1,0,0,0,0
2,22,5,250,1,4,3,0,3,4,2,0,0,5,0,1,1,0,1,1,0,0,0,1
1,32,23,1150,2,5,3,4,3,5,2,2,3,3,0,1,1,1,1,1,0,0,1,1
2,24,9,450,4,0,0,0,3,1,4,5,2,5,1,0,0,0,1,0,1,1,0,1
2,25,27,1350,2,2,5,0,4,4,3,1,1,3,0,0,1,0,1,1,1,0,0,1
2,19,25,1250,0,1,5,1,1,1,2,4,0,4,0,0,1,0,0,0,0,1,0,1
3,18,19,950,0,2,2,3,1,4,2,1,3,0,0,0,0,1,0,1,0,0,1,0
3,15,7,350,1,0,0,4,0,3,0,0,2,5,0,0,0,1,0,1,0,0,0,1
1,26,28,1400,4,1,3,0,1,1,5,4,5,2,1,0,1,0,0,0,1,1,1,0
1,19,26,1300,4,3,3,2,0,2,3,0,0,2,1,1,1,0,0,0,1,0,0,0
3,25,5,250,2,3,4,1,0,3,2,4,4,2,0,1,1,0,0,1,0,1,1,0
2,27,11,550,1,2,0,3,4,5,5,0,4,3,0,0,0,1,1,1,1,0,1,1
1,19,13,650,4,1,1,3,1,4,1,1,1,2,1,0,0,1,0,1,0,0,0,0
3,29,5,250,5,5,5,1,1,4,5,1,2,0,1,1,1,0,0,1,1,0,0,0
3,21,27,1350,5,1,2,0,4,5,1,1,2,0,1,0,0,0,1,1,0,0,0,0
3,27,6,300,0,4,1,5,4,3,3,1,1,5,0,1,0,1,1,1,1,0,0,1
2,19,21,1050,2,0,1,1,1,0,3,4,2,5,0,0,0,0,0,0,1,1,0,1
3,29,21,1050,3,3,2,5,1,2,4,3,4,2,1,1,0,1,0,0,1,1,1,0
3,24,7,350,0,2,3,3,0,1,5,3,4,3,0,0,1,1,0,0,1,1,1,1
3,21,21,1050,1,1,5,3,2,3,2,2,1,1,0,0,1,1,0,1,0,0,0,0
3,30,14,700,4,3,4,2,5,1,1,3,3,4,1,1,1,0,1,0,0,1,1,1
1,21,6,300,0,2,3,2,0,4,5,2,1,2,0,0,1,0,0,1,1,0,0,0
1,23,11,550,3,3,3,3,3,0,1,1,4,2,1,1,1,1,1,0,0,0,1,0
3,24,28,1400,3,2,0,2,3,5,3,0,1,5,1,0,0,0,1,1,1,0,0,1
2,27,7,350,5,3,1,2,2,0,3,3,4,4,1,1,0,0,0,0,1,1,1,1
1,22,27,1350,1,5,1,2,5,1,0,3,3,1,0,1,0,0,1,0,0,1,1,0
3,31,16,800,0,4,5,3,4,5,0,1,4,5,0,1,1,1,1,1,0,0,1,1
1,21,11,550,2,0,1,0,3,4,3,1,5,2,0,0,0,0,1,1,1,0,1,0
1,23,14,700,0,3,4,0,4,5,0,3,2,2,0,1,1,0,1,1,0,1,0,0
2,27,8,400,5,0,4,4,4,5,3,1,0,1,1,0,1,1,1,1,1,0,0,0
3,27,5,250,3,3,4,2,0,0,5,3,3,4,1,1,1,0,0,0,1,1,1,1
3,13,18,900,1,1,2,0,4,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0
2,34,8,400,1,4,5,4,2,4,4,5,3,2,0,1,1,1,0,1,1,1,1,0
2,20,16,800,2,5,4,1,0,3,0,0,3,2,0,1,1,0,0,1,0,0,1,0
3,24,5,250,1,4,0,2,2,3,2,2,3,5,0,1,0,0,0,1,0,0,1,1
3,25,18,900,5,0,0,0,4,3,2,3,5,3,1,0,0,0,1,1,0,1,1,1
2,28,8,400,5,1,3,0,3,2,5,5,3,1,1,0,1,0,1,0,1,1,1,0
1,34,25,1250,5,2,3,5,5,4,4,0,4,2,1,0,1,1,1,1,1,0,1,0
1,31,29,1450,1,4,5,0,4,5,2,5,2,3,0,1,1,0,1,1,0,1,0,1
2,28,11,550,1,5,3,5,2,1,2,0,4,5,0,1,1,1,0,0,0,0,1,1
1,33,29,1450,5,1,3,4,1,1,5,4,4,5,1,0,1,1,0,0,1,1,1,1
2,27,13,650,1,1,0,5,1,4,5,5,5,0,0,0,0,1,0,1,1,1,1,0
1,17,18,900,1,0,3,1,3,2,4,0,2,1,0,0,1,0,1,0,1,0,0,0
1,27,28,1400,3,5,0,2,5,4,1,2,5,0,1,1,0,0,1,1,0,0,1,0
3,18,22,1100,0,1,4,0,2,1,4,0,3,3,0,0,1,0,0,0,1,0,1,1
3,31,9,450,4,1,4,3,3,4,4,1,2,5,1,0,1,1,1,1,1,0,0,1
1,21,24,1200,1,2,5,2,0,3,0,4,0,4,0,0,1,0,0,1,0,1,0,1
