Student ID,Quiz ID,Correct Answers (Total),Incorrect Answers (Total),Response Time (Avg),Difficulty Prediction,Topic 1 (Correct),Topic 1 (Incorrect),Time Spent on Topic 1,Topic 2 (Correct),Topic 2 (Incorrect),Time Spent on Topic 2,Topic 3 (Correct),Topic 3 (Incorrect),Time Spent on Topic 3,Topic 4 (Correct),Topic 4 (Incorrect),Time Spent on Topic 4,Topic 5 (Correct),Topic 5 (Incorrect),Time Spent on Topic 5,Topic 6 (Correct),Topic 6 (Incorrect),Time Spent on Topic 6,Topic 7 (Correct),Topic 7 (Incorrect),Time Spent on Topic 7,Topic 8 (Correct),Topic 8 (Incorrect),Time Spent on Topic 8,Topic 9 (Correct),Topic 9 (Incorrect),Time Spent on Topic 9,Topic 10 (Correct),Topic 10 (Incorrect),Time Spent on Topic 10
4,2,31,19,18,0,2,3,67,4,1,80,2,3,50,1,4,49,0,5,62,1,4,13,2,3,45,5,0,24,4,1,101,1,4,104
4,3,45,5,25,1,3,2,93,1,4,100,3,2,93,2,3,84,3,2,99,1,4,74,5,0,37,3,2,29,3,2,109,2,3,65
5,1,48,2,10,1,0,5,74,5,0,71,5,0,104,0,5,69,2,3,12,2,3,26,5,0,65,1,4,54,3,2,65,4,1,46
5,2,49,1,7,1,1,4,84,2,3,86,5,0,44,2,3,71,2,3,52,4,1,78,4,1,69,0,5,64,1,4,27,5,0,60
5,3,28,22,10,0,2,3,91,4,1,101,3,2,21,3,2,35,2,3,101,5,0,102,0,5,53,5,0,67,5,0,110,4,1,40
6,1,33,17,16,0,4,1,43,3,2,115,0,5,116,1,4,77,2,3,79,2,3,101,4,1,58,1,4,95,5,0,63,3,2,90
6,2,49,1,28,1,0,5,45,3,2,117,1,4,104,1,4,40,4,1,49,1,4,106,0,5,63,3,2,103,1,4,66,3,2,57
6,3,50,0,7,1,4,1,117,5,0,29,5,0,33,4,1,115,4,1,46,3,2,99,5,0,64,0,5,33,2,3,103,4,1,100
7,1,24,26,23,0,2,3,79,0,5,59,2,3,84,1,4,115,2,3,88,3,2,22,3,2,69,3,2,55,3,2,55,4,1,47
7,2,41,9,14,1,1,4,107,5,0,67,0,5,90,1,4,30,2,3,10,2,3,89,5,0,32,3,2,48,3,2,58,3,2,118
7,3,30,20,14,0,3,2,12,3,2,21,0,5,38,4,1,82,3,2,100,5,0,29,5,0,73,4,1,105,2,3,51,3,2,45
8,1,30,20,6,0,3,2,41,5,0,55,2,3,60,0,5,117,0,5,42,3,2,88,4,1,67,1,4,17,5,0,77,4,1,66
8,2,45,5,29,1,3,2,55,5,0,113,0,5,64,4,1,41,0,5,28,0,5,99,5,0,17,0,5,46,4,1,67,4,1,46
8,3,31,19,8,0,4,1,93,3,2,39,3,2,21,1,4,107,5,0,103,2,3,67,3,2,97,2,3,31,5,0,118,5,0,87
9,1,39,11,17,0,0,5,32,5,0,75,1,4,45,5,0,61,3,2,68,0,5,87,2,3,69,2,3,117,4,1,113,3,2,73
9,2,38,12,26,0,2,3,41,3,2,91,0,5,116,1,4,98,3,2,119,1,4,98,1,4,58,0,5,75,3,2,13,1,4,17
9,3,35,15,20,0,0,5,74,0,5,18,2,3,118,0,5,36,0,5,37,4,1,10,0,5,51,3,2,15,1,4,44,1,4,24
10,1,46,4,5,1,3,2,19,1,4,55,4,1,97,2,3,74,5,0,100,1,4,29,1,4,112,2,3,39,2,3,51,5,0,19
10,2,29,21,9,0,0,5,118,3,2,61,2,3,32,4,1,97,2,3,29,0,5,43,2,3,91,0,5,47,5,0,10,0,5,28
10,3,23,27,9,0,5,0,109,0,5,110,3,2,73,1,4,51,0,5,54,3,2,54,2,3,26,1,4,74,0,5,69,0,5,111
11,1,26,24,17,0,0,5,62,1,4,42,0,5,106,2,3,39,1,4,112,5,0,23,4,1,49,3,2,92,5,0,63,2,3,80
11,2,30,20,16,0,2,3,30,0,5,91,3,2,59,4,1,62,3,2,85,4,1,85,2,3,17,2,3,51,5,0,25,5,0,57
11,3,33,17,20,0,3,2,36,1,4,65,0,5,112,3,2,53,5,0,28,1,4,119,3,2,88,3,2,42,1,4,41,4,1,36
12,1,42,8,24,1,0,5,88,4,1,34,5,0,68,1,4,43,1,4,105,4,1,81,1,4,83,0,5,88,3,2,66,0,5,70
12,2,34,16,10,0,5,0,99,1,4,98,1,4,104,1,4,86,2,3,80,1,4,69,2,3,67,3,2,107,5,0,27,2,3,11
12,3,33,17,20,0,1,4,111,1,4,21,0,5,10,4,1,112,0,5,77,0,5,101,4,1,80,1,4,33,5,0,70,1,4,49
13,1,21,29,27,0,0,5,39,0,5,61,3,2,31,1,4,69,1,4,31,0,5,117,1,4,101,3,2,29,0,5,62,3,2,82
13,2,36,14,6,0,3,2,37,3,2,14,2,3,95,2,3,53,3,2,55,4,1,32,1,4,19,4,1,16,0,5,113,1,4,43
13,3,50,0,16,1,4,1,103,4,1,55,0,5,60,3,2,28,0,5,24,3,2,109,1,4,116,0,5,112,1,4,102,2,3,108
14,1,50,0,19,1,2,3,75,4,1,113,5,0,54,2,3,34,5,0,44,2,3,17,0,5,109,4,1,28,0,5,78,0,5,104
14,2,24,26,29,0,0,5,47,2,3,16,4,1,101,3,2,50,0,5,21,4,1,60,5,0,54,4,1,42,2,3,11,2,3,88
14,3,36,14,16,0,3,2,86,1,4,14,4,1,112,3,2,59,3,2,53,0,5,20,5,0,51,1,4,77,1,4,42,4,1,90
15,1,44,6,7,1,1,4,74,5,0,40,0,5,22,3,2,101,4,1,113,3,2,44,3,2,43,4,1,59,5,0,110,0,5,101
15,2,22,28,9,0,0,5,82,5,0,71,1,4,19,5,0,18,4,1,18,5,0,45,4,1,72,3,2,45,3,2,49,5,0,47
15,3,35,15,28,0,1,4,30,1,4,104,3,2,91,0,5,107,5,0,22,0,5,45,4,1,99,0,5,73,4,1,48,5,0,61
16,1,47,3,14,1,2,3,70,3,2,110,1,4,67,2,3,34,3,2,55,1,4,44,2,3,69,4,1,17,1,4,108,5,0,108
16,2,27,23,17,0,4,1,70,0,5,118,4,1,24,3,2,102,3,2,93,3,2,105,1,4,100,3,2,116,3,2,47,1,4,62
16,3,30,20,23,0,3,2,50,2,3,22,3,2,64,5,0,54,2,3,78,3,2,64,0,5,40,5,0,21,2,3,49,1,4,28
17,1,36,14,15,0,5,0,30,4,1,112,0,5,50,1,4,76,5,0,68,0,5,114,3,2,83,1,4,103,4,1,16,0,5,42
17,2,40,10,16,1,4,1,90,0,5,15,4,1,11,4,1,16,1,4,110,3,2,52,3,2,22,4,1,25,3,2,118,5,0,26
17,3,20,30,17,0,2,3,17,2,3,108,5,0,68,4,1,101,4,1,21,2,3,96,2,3,29,2,3,119,1,4,74,0,5,14
18,1,25,25,21,0,1,4,83,2,3,64,0,5,102,3,2,57,2,3,27,2,3,48,3,2,81,0,5,16,2,3,30,0,5,10
18,2,38,12,14,0,1,4,23,4,1,61,1,4,84,4,1,42,2,3,24,1,4,59,1,4,22,5,0,91,3,2,42,5,0,75
18,3,37,13,29,0,4,1,62,4,1,10,2,3,53,3,2,111,3,2,107,4,1,98,3,2,95,0,5,74,2,3,85,1,4,72
19,1,46,4,12,1,4,1,25,3,2,28,3,2,43,3,2,86,2,3,48,1,4,69,3,2,24,1,4,61,1,4,60,2,3,55
19,2,43,7,29,1,3,2,101,3,2,78,1,4,45,3,2,104,5,0,63,2,3,23,3,2,98,3,2,114,3,2,13,2,3,47
19,3,38,12,15,0,1,4,102,5,0,76,1,4,116,3,2,42,5,0,49,2,3,67,3,2,16,2,3,94,2,3,64,1,4,79
20,1,22,28,24,0,5,0,65,0,5,116,0,5,18,4,1,80,4,1,59,5,0,16,5,0,52,0,5,51,1,4,78,4,1,75
20,2,23,27,27,0,5,0,43,0,5,48,1,4,16,4,1,105,4,1,58,0,5,80,4,1,59,1,4,47,5,0,17,0,5,15
20,3,29,21,29,0,1,4,113,4,1,54,1,4,114,3,2,43,2,3,71,4,1,91,3,2,53,2,3,66,0,5,92,2,3,69
21,1,23,27,7,0,5,0,66,0,5,72,3,2,76,2,3,32,4,1,78,3,2,28,2,3,55,1,4,25,5,0,33,1,4,77
21,2,34,16,21,0,0,5,109,3,2,48,1,4,94,2,3,74,4,1,28,0,5,32,5,0,40,2,3,16,0,5,32,5,0,85
21,3,49,1,13,1,1,4,39,3,2,56,4,1,48,1,4,45,3,2,24,4,1,42,3,2,44,1,4,103,4,1,99,2,3,104
22,1,40,10,17,1,5,0,111,5,0,32,1,4,82,0,5,119,4,1,67,3,2,37,1,4,52,3,2,95,2,3,14,3,2,23
22,2,39,11,17,0,1,4,16,4,1,108,1,4,62,0,5,88,0,5,92,3,2,12,3,2,91,5,0,22,5,0,86,1,4,102
22,3,20,30,25,0,3,2,12,3,2,67,5,0,99,5,0,44,3,2,66,4,1,77,0,5,97,4,1,82,5,0,86,1,4,100
23,1,20,30,21,0,2,3,61,0,5,11,1,4,93,3,2,88,2,3,21,2,3,11,2,3,48,5,0,64,4,1,89,5,0,60
23,2,27,23,27,0,1,4,73,4,1,101,4,1,45,5,0,32,0,5,80,4,1,71,3,2,24,2,3,67,1,4,112,4,1,44
23,3,41,9,12,1,1,4,76,0,5,62,5,0,115,2,3,98,0,5,118,4,1,113,1,4,45,0,5,44,2,3,83,4,1,22
24,1,24,26,22,0,4,1,33,2,3,78,0,5,90,1,4,98,2,3,86,0,5,111,3,2,86,0,5,21,0,5,102,3,2,85
24,2,36,14,7,0,2,3,98,2,3,38,0,5,12,3,2,41,1,4,117,0,5,30,5,0,67,1,4,50,4,1,16,5,0,12
24,3,28,22,16,0,2,3,81,0,5,16,0,5,25,3,2,30,3,2,24,5,0,46,4,1,39,3,2,64,1,4,66,3,2,55
25,1,40,10,14,1,3,2,101,0,5,80,3,2,102,0,5,105,1,4,94,4,1,81,4,1,56,0,5,79,4,1,103,5,0,76
25,2,38,12,25,0,5,0,88,3,2,101,2,3,68,2,3,25,2,3,102,5,0,37,5,0,78,2,3,39,3,2,59,1,4,67
25,3,32,18,15,0,1,4,21,4,1,50,3,2,11,5,0,31,4,1,46,4,1,69,1,4,62,5,0,88,2,3,59,0,5,91
26,1,27,23,8,0,3,2,14,2,3,106,4,1,53,0,5,12,2,3,60,1,4,38,3,2,107,5,0,17,1,4,100,4,1,54
26,2,33,17,14,0,4,1,37,2,3,16,5,0,15,4,1,61,0,5,15,5,0,31,0,5,32,4,1,101,2,3,99,0,5,69
26,3,34,16,15,0,3,2,42,5,0,118,2,3,97,2,3,24,0,5,20,4,1,114,1,4,30,3,2,95,1,4,108,5,0,21
27,1,40,10,5,1,5,0,22,2,3,108,0,5,49,4,1,61,2,3,33,3,2,59,2,3,12,3,2,97,4,1,67,5,0,45
27,2,50,0,14,1,3,2,86,5,0,64,3,2,36,0,5,19,4,1,114,2,3,32,2,3,62,4,1,48,1,4,69,4,1,21
27,3,34,16,22,0,4,1,27,3,2,119,3,2,92,5,0,111,3,2,11,2,3,50,0,5,77,1,4,50,3,2,105,1,4,28
28,1,35,15,18,0,1,4,59,0,5,106,0,5,97,2,3,115,5,0,34,4,1,54,5,0,70,0,5,49,5,0,115,3,2,74
28,2,21,29,28,0,4,1,40,1,4,77,2,3,103,4,1,85,0,5,84,1,4,29,4,1,112,0,5,118,1,4,58,0,5,91
28,3,43,7,6,1,1,4,109,3,2,84,3,2,11,2,3,17,1,4,18,2,3,35,0,5,67,2,3,106,4,1,16,0,5,39
29,1,45,5,27,1,2,3,54,4,1,114,0,5,19,1,4,74,2,3,66,0,5,102,2,3,69,1,4,116,1,4,12,0,5,55
29,2,31,19,14,0,3,2,41,5,0,104,5,0,77,5,0,39,5,0,89,1,4,51,0,5,28,3,2,49,5,0,95,1,4,72
29,3,40,10,6,1,4,1,40,3,2,14,4,1,116,2,3,77,2,3,64,4,1,75,3,2,73,0,5,93,3,2,58,3,2,71
30,1,50,0,24,1,5,0,74,4,1,91,4,1,109,3,2,101,1,4,30,3,2,17,4,1,15,5,0,52,3,2,63,5,0,27
30,2,29,21,14,0,4,1,46,5,0,88,1,4,16,4,1,49,4,1,106,5,0,43,4,1,48,1,4,77,4,1,69,5,0,85
30,3,42,8,16,1,4,1,92,4,1,56,5,0,25,2,3,102,1,4,60,5,0,82,5,0,108,5,0,88,2,3,16,5,0,15
31,1,20,30,12,0,0,5,36,2,3,19,1,4,70,0,5,30,1,4,81,1,4,73,3,2,28,5,0,39,4,1,105,1,4,79
31,2,31,19,27,0,4,1,112,2,3,111,2,3,66,3,2,39,3,2,53,4,1,85,4,1,76,2,3,22,2,3,27,3,2,17
31,3,26,24,9,0,1,4,41,1,4,13,0,5,52,3,2,92,4,1,91,3,2,57,1,4,111,1,4,62,5,0,65,2,3,85
32,1,33,17,28,0,1,4,22,3,2,110,2,3,74,5,0,60,2,3,56,5,0,27,2,3,108,5,0,100,0,5,62,4,1,60
32,2,48,2,7,1,0,5,47,5,0,97,4,1,27,5,0,68,5,0,109,4,1,82,5,0,113,3,2,74,5,0,77,4,1,42
32,3,33,17,11,0,3,2,36,5,0,11,2,3,78,3,2,52,1,4,72,0,5,62,3,2,60,4,1,92,5,0,111,5,0,52
33,1,34,16,12,0,3,2,24,3,2,99,2,3,31,5,0,28,0,5,13,2,3,29,0,5,32,0,5,54,4,1,67,5,0,79
33,2,40,10,6,1,2,3,57,3,2,58,1,4,118,1,4,47,5,0,30,4,1,98,4,1,34,4,1,99,4,1,100,2,3,38
33,3,23,27,14,0,0,5,95,3,2,50,3,2,91,2,3,33,5,0,24,3,2,15,1,4,16,3,2,63,5,0,63,0,5,38
34,1,44,6,24,1,5,0,114,3,2,66,0,5,53,4,1,75,2,3,23,1,4,31,5,0,24,3,2,59,1,4,57,3,2,73
34,2,24,26,28,0,4,1,52,0,5,22,5,0,52,2,3,10,2,3,89,1,4,86,0,5,85,2,3,111,1,4,48,0,5,22
34,3,24,26,13,0,4,1,91,4,1,17,1,4,20,5,0,79,4,1,77,5,0,101,3,2,57,3,2,96,0,5,33,4,1,94
35,1,20,30,22,0,2,3,73,1,4,79,2,3,98,3,2,86,4,1,112,2,3,26,1,4,24,0,5,22,0,5,89,1,4,17
35,2,47,3,18,1,5,0,47,3,2,18,5,0,76,1,4,49,1,4,68,4,1,22,2,3,52,1,4,87,5,0,108,1,4,39
35,3,27,23,23,0,0,5,94,2,3,21,0,5,98,3,2,55,0,5,29,5,0,65,5,0,15,3,2,69,5,0,96,3,2,30
36,1,41,9,6,1,2,3,41,3,2,13,1,4,49,1,4,67,0,5,91,0,5,41,2,3,56,3,2,115,1,4,61,0,5,90
36,2,28,22,25,0,4,1,50,5,0,101,2,3,38,3,2,84,2,3,86,3,2,47,3,2,95,2,3,90,0,5,56,0,5,19
36,3,35,15,13,0,3,2,77,1,4,117,3,2,107,4,1,74,0,5,41,2,3,111,3,2,42,0,5,40,0,5,116,3,2,14
37,1,31,19,15,0,3,2,111,0,5,78,4,1,45,2,3,18,3,2,57,3,2,10,5,0,27,1,4,110,3,2,87,4,1,27
37,2,20,30,18,0,4,1,71,3,2,27,2,3,97,2,3,112,3,2,68,3,2,33,4,1,58,1,4,87,3,2,91,2,3,54
37,3,29,21,25,0,3,2,31,0,5,10,4,1,30,4,1,100,1,4,22,2,3,63,3,2,62,1,4,56,5,0,84,2,3,115
38,1,46,4,27,1,5,0,71,4,1,11,0,5,77,3,2,37,2,3,39,2,3,61,3,2,115,4,1,50,1,4,117,3,2,90
38,2,32,18,13,0,2,3,106,5,0,32,4,1,60,3,2,102,1,4,94,4,1,67,5,0,87,5,0,63,5,0,51,0,5,12
38,3,40,10,21,1,0,5,111,1,4,23,3,2,112,4,1,117,2,3,106,1,4,43,2,3,76,0,5,25,3,2,113,1,4,112
39,1,24,26,15,0,2,3,77,0,5,59,1,4,82,2,3,60,3,2,17,1,4,116,0,5,12,1,4,106,1,4,114,3,2,111
39,2,31,19,7,0,5,0,77,1,4,33,0,5,63,1,4,75,4,1,63,5,0,48,2,3,10,2,3,116,4,1,93,1,4,34
39,3,30,20,8,0,3,2,103,4,1,116,4,1,114,5,0,46,2,3,65,2,3,68,2,3,19,1,4,20,5,0,22,2,3,86
40,1,43,7,9,1,4,1,110,5,0,108,0,5,89,3,2,44,1,4,58,1,4,63,2,3,60,1,4,23,0,5,74,4,1,13
40,2,25,25,27,0,4,1,111,1,4,74,2,3,40,5,0,74,1,4,103,1,4,43,3,2,66,3,2,18,5,0,22,4,1,118
40,3,37,13,15,0,2,3,21,4,1,82,1,4,39,5,0,60,4,1,97,3,2,66,0,5,72,5,0,25,0,5,13,1,4,103
41,1,41,9,17,1,1,4,29,1,4,99,4,1,106,5,0,24,5,0,113,4,1,24,3,2,47,4,1,45,3,2,90,0,5,60
41,2,22,28,13,0,4,1,96,3,2,107,1,4,34,0,5,108,3,2,111,5,0,14,5,0,84,3,2,87,3,2,12,0,5,61
41,3,29,21,28,0,2,3,97,4,1,42,0,5,100,5,0,34,1,4,29,0,5,45,5,0,20,5,0,59,1,4,49,0,5,86
42,1,24,26,13,0,1,4,26,3,2,71,2,3,48,5,0,15,4,1,66,2,3,19,0,5,119,4,1,98,2,3,14,4,1,69
42,2,49,1,28,1,3,2,16,2,3,56,4,1,28,4,1,13,4,1,83,4,1,53,1,4,27,1,4,56,1,4,98,3,2,103
42,3,31,19,11,0,3,2,37,2,3,63,1,4,34,2,3,103,4,1,12,0,5,82,5,0,114,4,1,85,5,0,17,5,0,15
43,1,41,9,10,1,2,3,80,0,5,80,5,0,47,3,2,67,0,5,82,5,0,10,4,1,93,2,3,89,1,4,59,4,1,99
43,2,22,28,11,0,2,3,54,4,1,85,5,0,29,0,5,57,3,2,72,5,0,63,5,0,103,0,5,32,5,0,110,1,4,39
43,3,36,14,15,0,5,0,88,2,3,98,0,5,73,2,3,66,5,0,109,4,1,37,5,0,26,0,5,87,5,0,108,0,5,68
44,1,26,24,17,0,5,0,27,1,4,18,0,5,62,3,2,114,2,3,35,4,1,110,5,0,104,3,2,101,3,2,25,0,5,117
44,2,31,19,5,0,3,2,57,4,1,119,5,0,96,3,2,12,3,2,110,0,5,117,2,3,66,2,3,33,1,4,14,2,3,117
44,3,34,16,8,0,3,2,75,1,4,72,1,4,104,0,5,49,1,4,39,0,5,36,4,1,112,1,4,18,0,5,50,4,1,38
45,1,30,20,9,0,4,1,110,0,5,66,1,4,88,4,1,72,2,3,39,2,3,32,1,4,117,4,1,59,5,0,30,0,5,63
45,2,20,30,25,0,1,4,56,2,3,92,5,0,87,5,0,11,4,1,71,2,3,84,3,2,105,3,2,66,0,5,57,0,5,18
45,3,24,26,28,0,0,5,39,5,0,107,4,1,43,0,5,43,5,0,112,2,3,75,1,4,84,3,2,88,0,5,47,5,0,62
46,1,42,8,9,1,0,5,66,1,4,98,1,4,109,0,5,33,1,4,24,0,5,73,5,0,88,3,2,103,2,3,103,4,1,58
46,2,33,17,9,0,1,4,76,5,0,11,3,2,98,5,0,16,3,2,45,1,4,100,3,2,16,0,5,82,4,1,78,0,5,103
46,3,39,11,25,0,1,4,90,0,5,114,1,4,101,5,0,83,5,0,12,1,4,116,3,2,64,1,4,63,5,0,84,2,3,98
47,1,38,12,16,0,2,3,81,3,2,37,1,4,65,4,1,22,4,1,95,5,0,14,4,1,106,0,5,115,4,1,43,1,4,78
47,2,27,23,12,0,5,0,105,3,2,86,3,2,106,4,1,15,0,5,117,1,4,11,1,4,61,4,1,24,5,0,114,0,5,47
47,3,32,18,28,0,0,5,108,5,0,50,1,4,74,0,5,46,5,0,76,4,1,47,3,2,110,3,2,19,0,5,117,3,2,107
48,1,33,17,11,0,3,2,65,4,1,107,1,4,67,4,1,19,0,5,59,0,5,95,1,4,107,3,2,107,0,5,50,1,4,23
48,2,29,21,11,0,5,0,98,1,4,96,4,1,114,1,4,75,4,1,43,2,3,108,0,5,67,3,2,33,0,5,89,0,5,94
48,3,32,18,13,0,3,2,90,3,2,105,4,1,23,3,2,101,4,1,106,4,1,80,4,1,72,1,4,23,5,0,15,0,5,20
49,1,43,7,27,1,0,5,36,1,4,63,5,0,99,3,2,62,4,1,107,5,0,34,1,4,45,5,0,27,4,1,101,2,3,65
49,2,30,20,20,0,0,5,19,0,5,109,0,5,60,4,1,115,3,2,47,0,5,115,0,5,82,4,1,112,3,2,30,0,5,99
49,3,40,10,28,1,4,1,108,0,5,42,1,4,34,5,0,76,1,4,28,0,5,85,4,1,65,4,1,103,4,1,107,3,2,57
50,1,30,20,26,0,2,3,50,5,0,61,5,0,17,4,1,115,5,0,56,4,1,87,0,5,84,4,1,118,2,3,49,5,0,54
50,2,47,3,17,1,0,5,117,4,1,70,5,0,64,2,3,81,0,5,53,3,2,28,3,2,94,0,5,92,5,0,106,2,3,31
50,3,22,28,17,0,2,3,114,1,4,72,1,4,12,4,1,111,5,0,82,1,4,114,0,5,104,2,3,57,2,3,36,0,5,29
51,1,47,3,21,1,3,2,59,1,4,20,0,5,110,4,1,26,3,2,59,5,0,37,0,5,119,1,4,59,3,2,12,5,0,76
51,2,26,24,7,0,4,1,95,5,0,25,5,0,19,3,2,63,5,0,75,5,0,58,2,3,55,0,5,118,3,2,85,0,5,109
51,3,38,12,5,0,0,5,65,0,5,23,2,3,114,5,0,25,3,2,84,2,3,48,5,0,69,1,4,50,3,2,32,5,0,38
52,1,32,18,9,0,3,2,20,2,3,19,3,2,110,2,3,73,5,0,117,0,5,25,5,0,24,1,4,65,0,5,72,5,0,34
52,2,34,16,13,0,4,1,43,4,1,77,0,5,85,2,3,89,4,1,95,4,1,67,2,3,15,3,2,42,2,3,28,1,4,24
52,3,25,25,15,0,3,2,101,3,2,89,5,0,48,1,4,53,0,5,69,3,2,55,3,2,80,0,5,118,1,4,98,3,2,45
53,1,44,6,16,1,0,5,85,1,4,43,1,4,109,4,1,76,3,2,67,3,2,114,0,5,21,0,5,50,4,1,29,0,5,34
53,2,34,16,16,0,4,1,102,5,0,103,2,3,101,4,1,28,2,3,58,5,0,11,4,1,30,2,3,72,3,2,22,4,1,57
53,3,49,1,10,1,1,4,50,4,1,87,0,5,40,3,2,90,3,2,85,0,5,118,0,5,89,2,3,32,3,2,89,5,0,94
54,1,46,4,16,1,2,3,54,3,2,47,5,0,117,1,4,84,3,2,21,3,2,99,1,4,99,1,4,107,1,4,25,5,0,24
54,2,24,26,7,0,1,4,79,4,1,19,4,1,55,3,2,92,4,1,15,1,4,107,1,4,20,5,0,12,4,1,21,4,1,42
54,3,29,21,13,0,4,1,40,4,1,49,0,5,64,0,5,35,3,2,106,4,1,115,0,5,82,5,0,114,0,5,103,3,2,16
55,1,47,3,12,1,0,5,19,4,1,49,3,2,27,3,2,51,3,2,90,1,4,37,0,5,16,5,0,35,3,2,23,0,5,76
55,2,21,29,26,0,1,4,42,1,4,17,3,2,106,3,2,48,4,1,52,5,0,38,5,0,17,3,2,46,2,3,33,0,5,23
55,3,42,8,20,1,5,0,86,3,2,79,5,0,54,5,0,80,5,0,117,4,1,119,5,0,94,1,4,76,1,4,47,5,0,95
56,1,42,8,27,1,2,3,86,3,2,61,2,3,67,5,0,45,4,1,40,0,5,38,4,1,23,2,3,50,2,3,23,1,4,60
56,2,42,8,21,1,4,1,66,0,5,14,5,0,11,1,4,91,0,5,26,3,2,71,2,3,66,0,5,49,4,1,15,5,0,101
56,3,40,10,20,1,1,4,28,2,3,101,1,4,57,3,2,35,5,0,77,1,4,56,5,0,105,0,5,89,1,4,15,1,4,28
57,1,43,7,12,1,3,2,25,5,0,96,0,5,49,1,4,112,3,2,19,5,0,30,1,4,90,0,5,92,4,1,114,1,4,36
57,2,39,11,29,0,1,4,28,4,1,23,4,1,64,5,0,77,4,1,101,1,4,82,5,0,43,4,1,33,5,0,57,1,4,97
57,3,24,26,13,0,1,4,80,2,3,98,0,5,112,0,5,45,1,4,91,4,1,69,5,0,18,1,4,27,0,5,118,5,0,34
58,1,30,20,22,0,0,5,68,3,2,70,1,4,117,5,0,88,4,1,80,1,4,112,4,1,17,4,1,16,0,5,25,3,2,96
58,2,50,0,25,1,0,5,59,1,4,113,2,3,89,2,3,46,4,1,44,0,5,93,2,3,34,3,2,53,1,4,59,4,1,89
58,3,47,3,26,1,1,4,97,4,1,112,0,5,108,2,3,113,4,1,77,4,1,22,5,0,118,0,5,89,3,2,86,1,4,12
59,1,45,5,9,1,2,3,82,5,0,116,1,4,96,2,3,33,5,0,68,3,2,64,0,5,31,4,1,37,2,3,109,0,5,89
59,2,33,17,17,0,2,3,54,2,3,36,4,1,52,5,0,51,0,5,24,1,4,35,4,1,52,1,4,65,1,4,47,5,0,74
59,3,21,29,27,0,4,1,23,5,0,111,3,2,95,3,2,87,4,1,31,3,2,111,5,0,27,4,1,85,2,3,63,5,0,68
60,1,45,5,19,1,0,5,99,4,1,48,0,5,20,2,3,52,2,3,43,5,0,16,3,2,107,1,4,33,3,2,101,0,5,106
60,2,30,20,11,0,3,2,107,1,4,109,2,3,20,3,2,45,0,5,75,4,1,54,2,3,11,3,2,29,0,5,119,1,4,111
60,3,28,22,18,0,0,5,64,0,5,46,2,3,72,2,3,81,4,1,43,3,2,42,5,0,16,3,2,14,0,5,105,3,2,77
61,1,29,21,11,0,2,3,70,2,3,14,3,2,93,1,4,10,3,2,81,0,5,53,2,3,14,4,1,81,2,3,117,4,1,20
61,2,24,26,12,0,3,2,41,0,5,65,0,5,29,0,5,66,1,4,48,3,2,45,1,4,68,4,1,111,5,0,36,1,4,47
